Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Evaluation of a nnU-Net type automated clinical volumetric tumor segmentation tool for diffuse low-grade glioma follow-up.,Verdier M; Deverdun J; de Champfleur NM; Duffau H; Lam P; Santos TD; Troalen T; Maréchal B; Huelnhagen T; Bars EL,"BACKGROUND AND PURPOSE: Diffuse low-grade gliomas (DLGG) are characterized by a slow and continuous growth and always evolve towards an aggressive grade. Accurate prediction of the malignant transformation is essential as it requires immediate therapeutic intervention. One of its most precise predictors is the velocity of diameter expansion (VDE). Currently, the VDE is estimated either by linear measurements or by manual delineation of the DLGG on T2 FLAIR acquisitions. However, because of the DLGG's infiltrative nature and its blurred contours, manual measures are challenging and variable, even for experts. Therefore we propose an automated segmentation algorithm using a 2D nnU-Net, to 1) gain time and 2) standardize VDE assessment. MATERIALS AND METHODS: The 2D nnU-Net was trained on 318 acquisitions (T2 FLAIR & 3DT1 longitudinal follow-up of 30 patients, including pre- & post-surgery acquisitions, different scanners, vendors, imaging parameters…). Automated vs. manual segmentation performance was evaluated on 167 acquisitions, and its clinical interest was validated by quantifying the amount of manual correction required after automated segmentation of 98 novel acquisitions. RESULTS: Automated segmentation showed a good performance with a mean Dice Similarity Coefficient (DSC) of 0.82±0.13 with manual segmentation and a substantial concordance between VDE calculations. Major manual corrections (i.e., DSC<0.7) were necessary only in 3/98 cases and 81% of the cases had a DSC>0.9. CONCLUSION: The proposed automated segmentation algorithm can successfully segment DLGG on highly variable MRI data. Although manual corrections are sometimes necessary, it provides a reliable, standardized and time-winning support for VDE extraction to asses DLGG growth.",2023,Jun,J Neuroradiol,,,,,10.1016/j.neurad.2023.05.008,37308338,#2198,Verdier 2023,"",""
Longitudinal Assessment of Posttreatment Diffuse Glioma Tissue Volumes with Three-dimensional Convolutional Neural Networks.,Rudie JD; Calabrese E; Saluja R; Weiss D; Colby JB; Cha S; Hess CP; Rauschecker AM; Sugrue LP; Villanueva-Meyer JE,"Neural networks were trained for segmentation and longitudinal assessment of posttreatment diffuse glioma. A retrospective cohort (from January 2018 to December 2019) of 298 patients with diffuse glioma (mean age, 52 years ± 14 [SD]; 177 men; 152 patients with glioblastoma, 72 patients with astrocytoma, and 74 patients with oligodendroglioma) who underwent two consecutive multimodal MRI examinations were randomly selected into training (n = 198) and testing (n = 100) samples. A posttreatment tumor segmentation three-dimensional nnU-Net convolutional neural network with multichannel inputs (T1, T2, and T1 postcontrast and fluid-attenuated inversion recovery [FLAIR]) was trained to segment three multiclass tissue types (peritumoral edematous, infiltrated, or treatment-changed tissue [ED]; active tumor or enhancing tissue [AT]; and necrotic core). Separate longitudinal change nnU-Nets were trained on registered and subtracted FLAIR and T1 postlongitudinal images to localize and better quantify and classify changes in ED and AT. Segmentation Dice scores, volume similarities, and 95th percentile Hausdorff distances ranged from 0.72 to 0.89, 0.90 to 0.96, and 2.5 to 3.6 mm, respectively. Accuracy rates of the posttreatment tumor segmentation and longitudinal change networks being able to classify longitudinal changes in ED and AT as increased, decreased, or unchanged were 76%-79% and 90%-91%, respectively. The accuracy levels of the longitudinal change networks were not significantly different from those of three neuroradiologists (accuracy, 90%-92%; κ, 0.58-0.63; P > .05). The results of this study support the potential clinical value of artificial intelligence-based automated longitudinal assessment of posttreatment diffuse glioma. Keywords: MR Imaging, Neuro-Oncology, Neural Networks, CNS, Brain/Brain Stem, Segmentation, Quantification, Convolutional Neural Network (CNN) Supplemental material is available for this article. © RSNA, 2022.",2022,Sep,Radiol Artif Intell,4,5,e210243,,10.1148/ryai.210243,36204543,#2212,Rudie 2022,"",""
Modeling 4D Pathological Changes by Leveraging Normative Models.,Wang B; Prastawa M; Irimia A; Saha A; Liu W; Goh SY; Vespa PM; Van Horn JD; Gerig G,"With the increasing use of efficient multimodal 3D imaging, clinicians are able to access longitudinal imaging to stage pathological diseases, to monitor the efficacy of therapeutic interventions, or to assess and quantify rehabilitation efforts. Analysis of such four-dimensional (4D) image data presenting pathologies, including disappearing and newly appearing lesions, represents a significant challenge due to the presence of complex spatio-temporal changes. Image analysis methods for such 4D image data have to include not only a concept for joint segmentation of 3D datasets to account for inherent correlations of subject-specific repeated scans but also a mechanism to account for large deformations and the destruction and formation of lesions (e.g., edema, bleeding) due to underlying physiological processes associated with damage, intervention, and recovery. In this paper, we propose a novel framework that provides a joint segmentation-registration framework to tackle the inherent problem of image registration in the presence of objects not present in all images of the time series. Our methodology models 4D changes in pathological anatomy across time and and also provides an explicit mapping of a healthy normative template to a subject's image data with pathologies. Since atlas-moderated segmentation methods cannot explain appearance and locality pathological structures that are not represented in the template atlas, the new framework provides different options for initialization via a supervised learning approach, iterative semisupervised active learning, and also transfer learning, which results in a fully automatic 4D segmentation method. We demonstrate the effectiveness of our novel approach with synthetic experiments and a 4D multimodal MRI dataset of severe traumatic brain injury (TBI), including validation via comparison to expert segmentations. However, the proposed methodology is generic in regard to different clinical applications requiring quantitative analysis of 4D imaging representing spatio-temporal changes of pathologies.",2016,Oct,Comput Vis Image Underst,151,,3-13,,10.1016/j.cviu.2016.01.007,27818606,#2216,Wang 2016,"",""
A Longitudinal MRI Study of Amygdala and Hippocampal Subfields for Infants with Risk of Autism.,Li G; Chen MH; Wu D; Lian C; Sun Q; Shen D; Wang L,"Currently, there are still no early biomarkers to detect infants with risk of autism spectrum disorder (ASD), which is mainly diagnosed based on behavioral observations at three or four years of age. Since intervention efforts may miss a critical developmental window after 2 years old, it is clinically significant to identify imaging-based biomarkers at an early stage for better intervention, before behavioral diagnostic signs of ASD typically arising. Previous studies on older children and young adults with ASD demonstrate altered developmental trajectories of the amygdala and hippocampus. However, our knowledge on their developmental trajectories in early postnatal stages remains very limited. In this paper, for the first time, we propose a volume-based analysis of the amygdala and hippocampal subfields of the infant subjects with risk of ASD at 6, 12, and 24 months of age. To address the challenge of low tissue contrast and small structural size of infant amygdala and hippocampal subfields, we propose a novel deep-learning approach, dilated-dense U-Net, to digitally segment the amygdala and hippocampal subfields in a longitudinal dataset, the National Database for Autism Research (NDAR). A volume-based analysis is then performed based on the segmentation results. Our study shows that the overgrowth of amygdala and cornu ammonis sectors (CA) 1-3 May start from 6 months of age, which may be related to the emergence of autistic spectrum disorder.",2019,Oct,Graph Learn Med Imaging (2019),11849,,164-171,,10.1007/978-3-030-35817-4_20,32104792,#2237,Li 2019,"",""
CNN Detection of New and Enlarging Multiple Sclerosis Lesions from Longitudinal Mri Using Subtraction Images,N. M. Sepahvand; D. L. Arnold; T. Arbel,"Accurate detection and segmentation of new lesional activity in longitudinal Magnetic Resonance Images (MRIs) of patients with Multiple Sclerosis (MS) is important for monitoring disease activity, as well as for assessing treatment effects. In this work, we present the first deep learning framework to automatically detect and segment new and enlarging (NE) T2w lesions from longitudinal brain MRIs acquired from relapsing-remitting MS (RRMS) patients. The proposed framework is an adapted 3D U-Net [1] which includes as inputs the reference multi-modal MRI and T2-weighted lesion maps, as well an attention mechanism based on the subtraction MRI (between the two timepoints) which serves to assist the network in learning to differentiate between real anatomical change and artifactual change, while constraining the search space for small lesions. Experiments on a large, proprietary, multi -center, multi-modal, clinical trial dataset consisting of 1677 multi-modal scans illustrate that network achieves high overall detection accuracy (detection AUC=.95), outperforming (1) a U-Net without an attention mechanism (de-tection AUC=.93), (2) a framework based on subtracting independent T2-weighted segmentations (detection AUC=.57), and (3) DeepMedic (detection AUC=.84) [2], particularly for small lesions. In addition, the method was able to accurately classify patients as active/inactive with (sensitivities of. 69 and specificities of. 97).",2020,,2020 IEEE 17th International Symposium on Biomedical Imaging (ISBI),,,127-130,,10.1109/ISBI45749.2020.9098554,,#2282,N 2020,"",""
Deep Learning for Volumetric Segmentation in Spatio-Temporal Data: Application to Segmentation of Prostate in DCE-MRI,J. Kang; G. Samarasinghe; U. Senanayake; S. Conjeti; A. Sowmya,"Segmentation of the prostate in MR images is an essential step that underpins the success of subsequent analysis methods, such as cancer lesion detection inside the tumour and registration between different modalities. This work focuses on leveraging deep learning for analysis of longitudinal volumetric datasets, particularly for the task of segmentation, and presents proof-of-concept for segmentation of the prostate in 3D+T DCE-MRI sequences. A two-stream processing pipeline is proposed for this task, comprising a spatial stream modelled using a volumetric fully convolutional network and a temporal stream modeled using recurrent neural networks with Long-Short-term Memory (LSTM) units. The predictions of the two streams are fused using deep neural networks. The proposed method has been validated on a public benchmark dataset of 17 patients, each with 40 temporal volumes. When averaged over three experiments, a highly competitive Dice overlap score of 0.8688 and sensitivity of 0.8694 were achieved. As a spatiotemporal segmentation method, it can easily migrate to other datasets.",2019,,2019 IEEE 16th International Symposium on Biomedical Imaging (ISBI 2019),,,61-65,,10.1109/ISBI.2019.8759314,,#2283,J 2019,"",""
TS-Net: A Deep Learning Framework for Automated Assessment of Longitudinal Tumor Volume Changes in an Orthotopic Breast Cancer Model Using MRI,Y. Jun; S. Jin; N. Myung; J. Jeong; J. Lee; H. J. Cho,"Monitoring tumor volume changes in response to therapeutic agents is a critical step in preclinical drug development. Here, an automated magnetic resonance imaging (MRI)-based approach is proposed using a deep learning framework for tracking longitudinal tumor volume changes in an orthotopic breast cancer model treated with chemotherapy. Longitudinal magnetic resonance images are employed to track changes in tumor volume over time, using an untreated group and a doxorubicin-treated group as the dataset to evaluate treatment effects. Our approach, called Tumor Segmentation-Net (TS-Net), involves replacing the encoder of U-Net with a pre-trained ResNet34 to improve performance. The model was trained using a sample size of n=19 from the untreated group and then subsequently assessed on both the untreated group (n=5) and treated group (n=6). The correlation between the tumor volume determined from the ground truth and that obtained from the trained output was strong ( $\text{R}^{2}$ =0.984, slope=0.996). These results can lead to automated three-dimensional visualization of different longitudinal volume changes with and without treatment. Notably, for small tumors with volumes between 2 and 5 mm3, the proposed TS-Net demonstrated an average Dice similarity coefficient score of 0.85, indicating the ability to reliably detect early tumors that may often be missed. Our approach offers a promising tool for preclinical evaluation of tumor volume changes and treatment efficacy in animal models.",2023,,IEEE Access,11,,55117-55125,,10.1109/ACCESS.2023.3281558,,#2284,Y 2023,"",""
Fully convolutional structured LSTM networks for joint 4D medical image segmentation,Y. Gao; J. M. Phillips; Y. Zheng; R. Min; P. T. Fletcher; G. Gerig,"Longitudinal medical image analysis has great potential to reveal developmental trajectories and monitor disease progression. This process relies on consistent and robust joint 4D segmentation. Traditional methods highly depend on the similarity of images over time and either build a template or assume the images could be co-registered. This process may fail when image sequences present major appearance changes. Recently, deep learning (DL) approaches have achieved state-of-the-art results for related challenges in computer vision. These approaches make use of models such as fully convolutional networks (FCNs) for end-to-end pixel-wise segmentation and recurrent neural networks (RNNs) with long short-term memory (LSTM) units for sequence-to-sequence modeling. In this paper, we propose a new DL framework called FCSLSTM for 4D image segmentation with FCNs for the spatial model and LSTM for the temporal model. This is the first DL framework with deep integration of FCNs and LSTM for joint 4D segmentation that could be trained end-to-end. Our approach achieves promising results with the demonstrated application to longitudinal pediatric magnetic resonance imaging (MRI) segmentation.",2018,,2018 IEEE 15th International Symposium on Biomedical Imaging (ISBI 2018),,,1104-1108,,10.1109/ISBI.2018.8363764,,#2289,Y 2018,"",""
Multi-view longitudinal CNN for multiple sclerosis lesion segmentation,"Birenbaum, A; Greenspan, H","In this work, a deep-learning based automated method for Multiple Sclerosis (MS) lesion segmentation is presented. Automatic segmentation of MS lesions is a challenging task due to their variability in shape, size, location and texture in Magnetic Resonance (MR) images. In the proposed scheme, MR intensities and White Matter (WM) priors are used to extract candidate lesion voxels, following which Convolutional Neural Networks (CNN) are utilized for false positive reduction and final segmentation result. The proposed network uses longitudinal data, a novel contribution in the domain of MS lesion analysis. The method obtained state-of-the-art results on the 2015 Longitudinal MS Lesion Segmentation Challenge dataset, and achieved a performance level equivalent to a trained human rater. Automatic segmentation methods, such as the one proposed, once proven in accuracy and robustness, can help diagnosis and patient follow-up while reducing the time consuming need of manual segmentation. (C) 2017 Elsevier Ltd. All rights reserved.",2017,,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,65,,111-118,WOS:000413388100010,10.1016/j.engappai.2017.06.006,,#2366,Birenbaum 2017,"",""
Consistent Segmentation of Longitudinal Brain MR Images with Spatio-Temporal Constrained Networks,"Wei, J; Shi, F; Cui, ZM; Pan, YS; Xia, Y; Shen, DG","Accurate and consistent segmentation of longitudinal brain magnetic resonance (MR) images is of great importance in studying brain morphological and functional changes over time. However, current available brain segmentation methods, especially deep learning methods, are mostly trained with cross-sectional brain images that might generate inconsistent results in longitudinal studies. To overcome this limitation, we present a novel coarse-to-fine spatio-temporal constrained deep learning model for consistent longitudinal segmentation based on limited labeled cross-sectional data with semi-supervised learning. Specifically, both segmentation smoothness and temporal consistency are imposed in the loss function. Moreover, brain structural changes over time are summarized as age constraint, to make the model better reflect the trends of longitudinal aging changes. We validate our proposed method on 53 sets of longitudinal T1-weighted brain MR images from ADNI, with an average of 4.5 time-points per subject. Both quantitative and qualitative comparisons with comparison methods demonstrate the superior performance of our proposed method.",2021,,"MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION - MICCAI 2021, PT I",12901,,89-98,WOS:000712019600009,10.1007/978-3-030-87193-2_9,,#2370,Wei 2021,"",""
Learning unbiased group-wise registration (LUGR) and joint segmentation: evaluation on longitudinal diffusion MRI,"Li, B; Niessen, WJ; Klein, S; Ikram, MA; Vernooij, MW; Bron, EE","Analysis of longitudinal changes in imaging studies often involves both segmentation of structures of interest and registration of multiple timeframes. The accuracy of such analysis could benefit from a tailored framework that jointly optimizes both tasks to fully exploit the information available in the longitudinal data. Most learning-based registration algorithms, including joint optimization approaches, currently suffer from bias due to selection of a fixed reference frame and only support pairwise transformations. We here propose an analytical framework based on an unbiased learning strategy for group-wise registration that simultaneously registers images to the mean space of a group to obtain consistent segmentations. We evaluate the proposed method on longitudinal analysis of a white matter tract in a brain MRI dataset with 2-3 time-points for 3249 individuals, i.e., 8045 images in total. The reproducibility of the method is evaluated on test-retest data from 97 individuals. The results confirm that the implicit reference image is an average of the input image. In addition, the proposed framework leads to consistent segmentations and significantly lower processing bias than that of a pair-wise fixed-reference approach. This processing bias is even smaller than those obtained when translating segmentations by only one voxel, which can be attributed to subtle numerical instabilities and interpolation. Therefore, we postulate that the proposed mean-space learning strategy could be widely applied to learning-based registration tasks. In addition, this group-wise framework introduces a novel way for learning-based longitudinal studies by direct construction of an unbiased within-subject template and allowing reliable and efficient analysis of spatio-temporal imaging biomarkers.",2021,,MEDICAL IMAGING 2021: IMAGE PROCESSING,11596,,,WOS:000672800200016,10.1117/12.2580928,,#2373,Li 2021,"",""
Automated segmentation of long and short axis DENSE cardiovascular magnetic resonance for myocardial strain analysis using spatio-temporal convolutional neural networks,"Barbaroux, H; Kunze, KP; Neji, R; Nazir, MS; Pennell, DJ; Nielles-Vallespin, S; Scott, AD; Young, AA","BackgroundCine Displacement Encoding with Stimulated Echoes (DENSE) facilitates the quantification of myocardial deformation, by encoding tissue displacements in the cardiovascular magnetic resonance (CMR) image phase, from which myocardial strain can be estimated with high accuracy and reproducibility. Current methods for analyzing DENSE images still heavily rely on user input, making this process time-consuming and subject to inter-observer variability. The present study sought to develop a spatio-temporal deep learning model for segmentation of the left-ventricular (LV) myocardium, as spatial networks often fail due to contrast-related properties of DENSE images.Methods2D + time nnU-Net-based models have been trained to segment the LV myocardium from DENSE magnitude data in short- and long-axis images. A dataset of 360 short-axis and 124 long-axis slices was used to train the networks, from a combination of healthy subjects and patients with various conditions (hypertrophic and dilated cardiomyopathy, myocardial infarction, myocarditis). Segmentation performance was evaluated using ground-truth manual labels, and a strain analysis using conventional methods was performed to assess strain agreement with manual segmentation. Additional validation was performed using an externally acquired dataset to compare the inter- and intra-scanner reproducibility with respect to conventional methods.ResultsSpatio-temporal models gave consistent segmentation performance throughout the cine sequence, while 2D architectures often failed to segment end-diastolic frames due to the limited blood-to-myocardium contrast. Our models achieved a DICE score of 0.83 +/- 0.05 and a Hausdorff distance of 4.0 +/- 1.1 mm for short-axis segmentation, and 0.82 +/- 0.03 and 7.9 +/- 3.9 mm respectively for long-axis segmentations. Strain measurements obtained from automatically estimated myocardial contours showed good to excellent agreement with manual pipelines, and remained within the limits of inter-user variability estimated in previous studies.ConclusionSpatio-temporal deep learning shows increased robustness for the segmentation of cine DENSE images. It provides excellent agreement with manual segmentation for strain extraction. Deep learning will facilitate the analysis of DENSE data, bringing it one step closer to clinical routine.",2023,,JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,25,1,,WOS:000959473800001,10.1186/s12968-023-00927-y,,#2380,Barbaroux 2023,"",""
A Hybrid Deep Learning Framework for Integrated Segmentation and Registration: Evaluation on Longitudinal White Matter Tract Changes,"Li, B; Niessen, WJ; Klein, S; de Groot, M; Ikram, MA; Vernooij, MW; Bron, EE","To accurately analyze changes of anatomical structures in longitudinal imaging studies, consistent segmentation across multiple time-points is required. Existing solutions often involve independent registration and segmentation components. Registration between time-points is used either as a prior for segmentation in a subsequent time point or to perform segmentation in a common space. In this work, we propose a novel hybrid convolutional neural network (CNN) that integrates segmentation and registration into a single procedure. We hypothesize that the joint optimization leads to increased performance on both tasks. The hybrid CNN is trained by minimizing an integrated loss function composed of four different terms, measuring segmentation accuracy, similarity between registered images, deformation field smoothness, and segmentation consistency. We applied this method to the segmentation of white matter tracts, describing functionally grouped axonal fibers, using N = 8045 longitudinal brain MRI data of 3249 individuals. The proposed method was compared with two multistage pipelines using two existing segmentation methods combined with a conventional deformable registration algorithm. In addition, we assessed the added value of the joint optimization for segmentation and registration separately. The hybrid CNN yielded significantly higher accuracy, consistency and reproducibility of segmentation than the multistage pipelines, and was orders of magnitude faster. Therefore, we expect it can serve as a novel tool to support clinical and epidemiological analyses on understanding microstructural brain changes over time.",2019,,"MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION - MICCAI 2019, PT III",11766,,645-653,WOS:000548733600072,10.1007/978-3-030-32248-9_72,,#2414,Li 2019,"",""
Longitudinal Multiple Sclerosis Lesion Segmentation Using Multi-view Convolutional Neural Networks,"Birenbaum, A; Greenspan, H","Automatic segmentation of Multiple Sclerosis (MS) lesions is a challenging task due to their variability in shape, size, location and texture in Magnetic Resonance (MR) images. A reliable, automatic segmentation method can help diagnosis and patient follow-up while reducing the time consuming need of manual segmentation. In this paper, we present a fully automated method for MS lesion segmentation. The proposed method uses MR intensities and White Matter (WM) priors for extraction of candidate lesion voxels and uses Convolutional Neural Networks for false positive reduction. Our networks process longitudinal data, a novel contribution in the domain of MS lesion analysis. The method was tested on the ISBI 2015 dataset and obtained state-of-the-art Dice results with the performance level of a trained human rater.",2016,,DEEP LEARNING AND DATA LABELING FOR MEDICAL APPLICATIONS,10008,,58-67,WOS:000389936900007,10.1007/978-3-319-46976-8_7,,#2420,Birenbaum 2016,"",""
Cascaded Convolutional Neural Networks for Spine Chordoma Tumor Segmentation from MRI,"Reza, SMS; Roy, S; Park, DM; Pham, DL; Butman, JA","Chordoma is a rare type of tumor that usually appears in the bone near the spinal cord and skull base. Due to their location in the skull base and diverse appearance in size and shape, automatic segmentation of chordoma tumors from magnetic resonance images (MRI) is a challenging task. In addition, similar MR intensity distributions of different anatomical regions, specifically sinuses, make the segmentation task from MRI more challenging. In comparison, most of the state-of-the-art lesion segmentation methods are designed to segment pathologies inside the brain. In this work, we propose an automatic chordoma segmentation framework using two cascaded 3D convolutional neural networks (CNN) via an auto-context model. While the first network learns to detect all potential tumor voxels, the second network fine-tunes the classifier to distinguish true tumor voxels from the false positives detected by the first network. The proposed method is evaluated using multi-contrast MR images of 22 longitudinal scans from 8 patients. Preliminary results showed a linear correlation of 0.71 between the detected and manually outlined tumor volumes, compared to 0 : 40 for a random forest (RF) based method. Furthermore, the response of tumor growth over time, i.e. increasing, decreasing, or stable, is evaluated according to the response evaluation criteria in solid tumors with an outcome of 0 : 26 kappa coefficient, compared to 0.13 for the RF based method.",2019,,"MEDICAL IMAGING 2019: BIOMEDICAL APPLICATIONS IN MOLECULAR, STRUCTURAL, AND FUNCTIONAL IMAGING",10953,,,WOS:000483014900069,10.1117/12.2514000,,#2483,Reza 2019,"",""
Learning from pseudo-labels: deep networks improve consistency in longitudinal brain volume estimation,"Zhan, G; Wang, DA; Cabezas, M; Bai, L; Kyle, K; Ouyang, WL; Barnett, M; Wang, CY","IntroductionBrain atrophy is a critical biomarker of disease progression and treatment response in neurodegenerative diseases such as multiple sclerosis (MS). Confounding factors such as inconsistent imaging acquisitions hamper the accurate measurement of brain atrophy in the clinic. This study aims to develop and validate a robust deep learning model to overcome these challenges; and to evaluate its impact on the measurement of disease progression. MethodsVoxel-wise pseudo-atrophy labels were generated using SIENA, a widely adopted tool for the measurement of brain atrophy in MS. Deformation maps were produced for 195 pairs of longitudinal 3D T1 scans from patients with MS. A 3D U-Net, namely DeepBVC, was specifically developed overcome common variances in resolution, signal-to-noise ratio and contrast ratio between baseline and follow up scans. The performance of DeepBVC was compared against SIENA using McLaren test-retest dataset and 233 in-house MS subjects with MRI from multiple time points. Clinical evaluation included disability assessment with the Expanded Disability Status Scale (EDSS) and traditional imaging metrics such as lesion burden. ResultsFor 3 subjects in test-retest experiments, the median percent brain volume change (PBVC) for DeepBVC and SIENA was 0.105 vs. 0.198% (subject 1), 0.061 vs. 0.084% (subject 2), 0.104 vs. 0.408% (subject 3). For testing consistency across multiple time points in individual MS subjects, the mean (& PLUSMN; standard deviation) PBVC difference of DeepBVC and SIENA were 0.028% (& PLUSMN; 0.145%) and 0.031% (& PLUSMN;0.154%), respectively. The linear correlation with baseline T2 lesion volume were r = -0.288 (p < 0.05) and r = -0.249 (p < 0.05) for DeepBVC and SIENA, respectively. There was no significant correlation of disability progression with PBVC as estimated by either method (p = 0.86, p = 0.84). DiscussionDeepBVC is a deep learning powered brain volume change estimation method for assessing brain atrophy used T1-weighted images. Compared to SIENA, DeepBVC demonstrates superior performance in reproducibility and in the context of common clinical scan variances such as imaging contrast, voxel resolution, random bias field, and signal-to-noise ratio. Enhanced measurement robustness, automation, and processing speed of DeepBVC indicate its potential for utilisation in both research and clinical environments for monitoring disease progression and, potentially, evaluating treatment effectiveness.",2023,,FRONTIERS IN NEUROSCIENCE,17,,,WOS:001032233600001,10.3389/fnins.2023.1196087,,#2535,Zhan 2023,"",""
Personalised predictive modelling with brain-inspired spiking neural networks of longitudinal MRI neuroimaging data and the case study of dementia,"Doborjeh, M; Doborjeh, Z; Merkin, A; Bahrami, H; Sumich, A; Krishnamurthi, R; Medvedev, ON; Crook-Rumsey, M; Morgan, C; Kirk, I; Sachdev, PS; Brodaty, H; Kang, K; Wen, W; Feigin, V; Kasabov, N","Background: Longitudinal neuroimaging provides spatiotemporal brain data (STBD) measurement that can be utilised to understand dynamic changes in brain structure and/or function underpinning cognitive activities. Making sense of such highly interactive information is challenging, given that the features manifest intricate temporal, causal relations between the spatially distributed neural sources in the brain.Methods: The current paper argues for the advancement of deep learning algorithms in brain-inspired spiking neural networks (SNN), capable of modelling structural data across time (longitudinal measurement) and space (anatomical components). The paper proposes a methodology and a computational architecture based on SNN for building personalised predictive models from longitudinal brain data to accurately detect, understand, and predict the dynamics of an individual's functional brain state. The methodology includes finding clusters of similar data to each individual, data interpolation, deep learning in a 3-dimensional brain-template structured SNN model, classification and prediction of individual outcome, visualisation of structural brain changes related to the predicted outcomes, interpretation of results, and individual and group predictive marker discovery.Results: To demonstrate the functionality of the proposed methodology, the paper presents experimental results on a longitudinal magnetic resonance imaging (MRI) dataset derived from 175 older adults of the internationally recognised community-based cohort Sydney Memory and Ageing Study (MAS) spanning 6 years of follow-up.Significance: The models were able to accurately classify and predict 2 years ahead of cognitive decline, such as mild cognitive impairment (MCI) and dementia with 95% and 91% accuracy, respectively. The proposed methodology also offers a 3-dimensional visualisation of the MRI models reflecting the dynamic patterns of regional changes in white matter hyperintensity (WMH) and brain volume over 6 years.Conclusion: The method is efficient for personalised predictive modelling on a wide range of neuroimaging longitudinal data, including also demographic, genetic, and clinical data. As a case study, it resulted in finding predictive markers for MCI and dementia as dynamic brain patterns using MRI data. (C) 2021 Elsevier Ltd. All rights reserved.",2021,,NEURAL NETWORKS,144,,522-539,WOS:000707983400005,10.1016/j.neunet.2021.09.013,,#2588,Doborjeh 2021,"Thomas Shaw (2024-04-11 18:28:55)(Screen): Segmentation???
; ",""
Evaluating the use of synthetic T1-w images in new T2 lesion detection in multiple sclerosis,"Valencia, L; Clerigues, A; Valverde, S; Salem, M; Oliver, A; Rovira, A; Llado, X","The assessment of disease activity using serial brain MRI scans is one of the most valuable strategies for monitoring treatment response in patients with multiple sclerosis (MS) receiving disease-modifying treatments. Recently, several deep learning approaches have been proposed to improve this analysis, obtaining a good trade-off between sensitivity and specificity, especially when using T1-w and T2-FLAIR images as inputs. However, the need to acquire two different types of images is time-consuming, costly and not always available in clinical practice. In this paper, we investigate an approach to generate synthetic T1-w images from T2-FLAIR images and subsequently analyse the impact of using original and synthetic T1-w images on the performance of a state-of-the-art approach for longitudinal MS lesion detection. We evaluate our approach on a dataset containing 136 images from MS patients, and 73 images with lesion activity (the appearance of new T2 lesions in follow-up scans). To evaluate the synthesis of the images, we analyse the structural similarity index metric and the median absolute error and obtain consistent results. To study the impact of synthetic T1-w images, we evaluate the performance of the new lesion detection approach when using (1) both T2-FLAIR and T1-w original images, (2) only T2-FLAIR images, and (3) both T2-FLAIR and synthetic T1-w images. Sensitivities of 0.75, 0.63, and 0.81, respectively, were obtained at the same false-positive rate (0.14) for all experiments. In addition, we also present the results obtained when using the data from the international MSSEG-2 challenge, showing also an improvement when including synthetic T1-w images. In conclusion, we show that the use of synthetic images can support the lack of data or even be used instead of the original image to homogenize the contrast of the different acquisitions in new T2 lesions detection algorithms.",2022,,FRONTIERS IN NEUROSCIENCE,16,,,WOS:000868445700001,10.3389/fnins.2022.954662,,#2869,Valencia 2022,"",""
